Month;Aceh;Bali;Bangka Belitung Islands;Banten;Bengkulu;Central Java;Central Kalimantan;Central Sulawesi;East Java;East Kalimantan;East Nusa Tenggara;Gorontalo;Jakarta;Jambi;Lampung;Maluku;North Kalimantan;North Maluku;North Sulawesi;North Sumatra;Papua;Riau;Riau Islands;South East Sulawesi;South Kalimantan;South Sulawesi;South Sumatra;Special Region of Yogyakarta;West Java;West Kalimantan;West Nusa Tenggara;West Papua;West Sulawesi;West Sumatra
March;0.03;-14.34;-2.16;-2;-0.16;-2.55;-2.03;-0.89;-0.76;-0.74;-5.68;2;-4.76;-1.21;-0.71;-2.63;-0.58;5.84;-3.29;-4.18;-9.24;-3.05;-2.58;-3.66;0.08;-1.05;-0.13;-7.37;-0.68;-8.68;-4.5;-2.45;-6.61;0.18
April;-13.13;-34.4;-15.2;-20.23;-17.83;-15.57;-21.03;-19.73;-16.13;-19.13;-20.1;-18.77;-29.83;-17.8;-11.43;-22.6;-20.2;-10.03;-26.13;-24.53;-34.4;-23.2;-20.87;-22.73;-19.37;-24.27;-19.17;-31.73;-20.47;-25.53;-20.97;-22.8;-22.07;-20.33
May;2.65;-34.94;-2.74;-9.97;-8.65;-6.61;-17.45;-6.97;-11.81;-6.26;-16.74;-19.26;-21.19;-9.29;0.06;-19.35;-7.68;-0.94;-20.45;-15.26;-27.71;-12.48;-15.52;-10.71;-16.52;-17.48;-16.19;-30.87;-6.45;-17.06;-13.48;-15.74;-12.26;-10.39
June;1.47;-31.3;-5.67;-7.17;-1.77;-2.63;-15.23;-6.47;-5.87;-4.37;-5.77;-12.63;-12.97;-5;2.97;-21.7;-0.43;-1.77;-16.9;-10.83;-20.47;-5.1;-15;-3.3;-12;-8.6;-10.23;-22.97;1.83;-12.63;-7.2;-10.43;-2.37;-1.5
July;5.77;-28.94;3;-3.94;5.29;-0.29;-7.42;-0.26;-3.55;-1.61;1.71;-6.84;-7.97;2.39;8.74;-16.87;6.81;8.48;-8.84;-7.71;-12.77;-3.68;-10.74;5.42;-7.35;-3.16;-2.32;-17.81;6.13;-6.94;-2.97;-6.45;3;5.03
Augst;5.32;-26.29;3.68;-2.74;7.45;5.03;-2.65;5.32;-0.61;-2.45;9.16;-1.61;-9.87;4.45;15.35;-7;10.94;16.19;-2.32;-3.1;-8.71;-1.52;-10.55;10.84;-4;2.52;0.45;-12.68;7.61;-4.42;-0.13;1.44;6.13;9.42
September;2.23;-25.17;5.17;-5.07;8.17;1.13;-2.6;3.63;-0.9;-1.13;7.5;3.8;-13.47;3.97;10.37;-5.07;4.15;16.25;0.53;-3.9;-8.63;-3.93;-12.27;8.77;-3.83;4.67;0.83;-12.3;2.87;-8.7;0.6;-5.45;12.2;2
October;4.45;-23.97;6.13;-2.87;13.06;4.1;4;4.32;1.52;4.26;10.1;10.42;-12.81;4.58;12.29;3.84;12.03;26.42;4.81;-1.1;-0.9;-0.61;-8.84;11.61;1.13;9.77;3.65;-7.58;4.55;-4.94;5.84;2.61;15.58;7.55
November;1.27;-23.9;4.23;-3.17;12.4;1.73;3.13;5.5;1.57;2.63;11.83;9.53;-10.27;4.9;8.9;6.1;13.4;28.73;4.47;-2.47;-0.2;-1.67;-11;12.3;0.4;8.03;2.47;-9.43;3.83;-7.63;3.73;5.97;14.8;8.63
December;7.68;-17.9;5.52;1.65;18.19;5.74;9.32;15.45;3.84;9.74;19.68;16.81;-6.55;12.13;13.97;17.06;19.26;47.65;13.55;7.35;13.71;5.9;-5.81;22.29;6.29;11.71;7.52;-6.13;8.1;0.58;6.71;18.26;22.48;22.42
January;-2.13;-31.58;-12.55;-9.71;4.26;-8.77;-5.42;0.81;-9.58;-2.45;-5.29;-0.03;-17.23;-0.77;-0.03;-3.35;4.71;27;-7.71;-4.03;-4.16;-4.77;-17.48;12.77;-7.77;-2;-3.16;-18.84;-5.16;-13.52;-6.81;4.45;6.13;12.97
February;-0.98;-20.84;-7.58;-3.28;4.91;-5.58;-1.91;-1;-4.07;-1.37;-7.74;1.16;-7.19;1.88;-0.67;-4.21;3.16;13.7;-1.7;-1.35;-5.77;-1.51;-7.37;7.58;-2.93;0.4;0.16;-10.77;-0.07;-6.6;-6.88;1.88;-2.95;6.77
